record_id,citation_key,title,journal,publication_year,analysis_period,study_summary,case_report,case_report_conclusion,workflow_stage,specialty,specialty_other_detail,evaluation_target,device,dimensionality,image_modalities,image_modality_other_detail,rendering_type,rendering_other_detail,aux_visualization_content,anchoring_context,registration_method,perception_support,perception_cues,specialty_label,device_label,dimensionality_label,rendering_type_label,registration_method_label,workflow_stage_label,evaluation_target_label,image_modalities_label,anchoring_context_label,perception_cues_label,aux_visualization_content_label
850,Weidenbach 2004,Intelligent training system integrated in an echocardiography simulator.,Computers in Biology and Medicine,2004,Before 2010,develops an AR application that enables its user to simulate a 2D echocardiographic exam- ination,False,,education,cardiothoracic,,phantom,spatial_monitor,2d,us,,no_post_processing,,,off_situ,,False,,Cardiothoracic,Spatial Monitor,2D,No Post-processing,,Education,Phantom,Ultrasound,Off-situ,,
10,S 2005,An augmented reality system for patient-specific guidance of cardiac catheter ablation procedures,IEEE Transactions on Medical Imaging,2005,Before 2010,a system to assist in the treatment of cardiac arrhythmias by catheter ablation.,False,,intraoperative,cardiothoracic,,phantom,spatial_monitor,mixed,mri|xray,,surface_modeling,,color_coding,off_situ,,False,,Cardiothoracic,Spatial Monitor,Mixed,Surface Modeling,,Intraoperative,Phantom,"MRI, X-ray",Off-situ,,Color Coding
298,Das 2006,"Augmented reality visualization for CT-guided interventions: system description, feasibility, and initial evaluation in an abdominal phantom",Radiology,2006,Before 2010,evaluate the feasibility and performance of an augmented reality (AR) visualization prototype for virtual computed tomography (CT)-guided interventional procedures in a multimodality abdominal phantom,False,,intraoperative,abdominal,,phantom,hmd_vst,3d,ct,,surface_modeling,,tool_location|trajectory,in_situ,marker_optical,True,wireframe,Abdominal,HMD (Video See-Through),3D,Surface Modeling,Optical Marker,Intraoperative,Phantom,CT,In-situ,Wireframe,"Tool Location, Trajectory"
1874,Sielhorst 2006,Depth perception - A major issue in medical AR: Evaluation study by twenty surgeons,MICCAI,2006,Before 2010,evaluates novel visualization techniques that are designed to overcome misleading depth perception of trivially superimposed virtual images on the real view.,False,,intraoperative,orthopedic,,phantom,hmd_vst,3d,ct,,other_process,compare everything,tool_location,in_situ,marker_optical,True,occlusion|shadow,Orthopedic,HMD (Video See-Through),3D,Other Process,Optical Marker,Intraoperative,Phantom,CT,In-situ,"Occlusion, Shadow",Tool Location
331,Traub 2006,Hybrid navigation interface for orthopedic and trauma surgery,MICCAI,2006,Before 2010,"Compare the navigation performance between a conventional slice-based CT navigation and AR-based navigation, and their combination.",False,,intraoperative,orthopedic,,phantom,hmd_vst,3d,ct,,surface_modeling,Includes surface modelling and volume rendering,tool_location,in_situ,marker_optical,False,,Orthopedic,HMD (Video See-Through),3D,Surface Modeling,Optical Marker,Intraoperative,Phantom,CT,In-situ,,Tool Location
3310,Wendler 2006,Navigated three dimensional beta probe for optimal cancer resection.,Medical Image Computing and Computer-Assisted Intervention,2006,Before 2010,extend the one dimensional signal of a beta-probe to a four dimensional signal including the spatial information of the distal end of the probe. use AR to provide navigation,,,intraoperative,oncologic,,phantom,spatial_monitor,3d,rgb,,surface_modeling,,color_coding,in_situ,marker_optical,False,,Oncologic,Spatial Monitor,3D,Surface Modeling,Optical Marker,Intraoperative,Phantom,RGB Camera,In-situ,,Color Coding
45,C 2007,Contextual Anatomic Mimesis Hybrid In-Situ Visualization Method for Improving Multi-Sensory Depth Perception in Medical Augmented Reality,ISMAR,2007,Before 2010,Uses AR technology for preoperative diagnoses and surgical planning as well as intraoperative navigation,False,,method_development,orthopedic,,phantom|patient,hmd_vst,3d,ct,,surface_modeling,,,in_situ,marker_optical,True,occlusion|kinetic,Orthopedic,HMD (Video See-Through),3D,Surface Modeling,Optical Marker,Method Development,"Phantom, Patient",CT,In-situ,"Occlusion, Kinetic",
122,C 2007,Laparoscopic Virtual Mirror for Understanding Vessel Structure Evaluation Study by Twelve Surgeons,IEEE and ACM International Symposium on Mixed and Augmented Reality,2007,Before 2010,,False,,intraoperative,vascular,,phantom,spatial_monitor,3d,ct,,volume_rendering,,,off_situ,,True,mirror,Vascular,Spatial Monitor,3D,Volume Rendering,,Intraoperative,Phantom,CT,Off-situ,Mirror,
1914,Konishi 2007,A real-time navigation system for laparoscopic surgery based on three-dimensional ultrasound using magneto-optic hybrid tracking configuration,Int. J. Comput. Assisted Radiol. Surg.,2007,Before 2010,evaluate the usefulness and accuracy of this system using an animate model.,False,,intraoperative,abdominal,,animal,spatial_monitor,3d,us,,volume_rendering,,,off_situ,,False,,Abdominal,Spatial Monitor,3D,Volume Rendering,,Intraoperative,Animal,Ultrasound,Off-situ,,
858,Lovo 2007,"A novel, inexpensive method of image coregistration for applications in image-guided surgery using augmented reality.",Operative Neurosurgery,2007,Before 2010,"describes an easy, inexpensive, and successful method to coregister with AR in an image-guided surgery setting using the resources at hand",False,,planning,neurosurgery,,virtual,spatial_monitor,3d,mri,,volume_rendering,,,off_situ,,False,,Neurosurgery,Spatial Monitor,3D,Volume Rendering,,Planning,Virtual,MRI,Off-situ,,
17,N 2007,Laparoscopic Virtual Mirror New Interaction Paradigm for Monitor Based Augmented Reality,IEEE Annual International Symposium Virtual Reality,2007,Before 2010,take full advantage of the 3D virtual data for augmented reality applications in medical scenes.,False,The authors introduce a new interactive visualization paradigm enabling the user to take full advantage of the available 3D data within an augmented scene,intraoperative,abdominal,,phantom,spatial_monitor,3d,ct,,surface_modeling,,tool_location,off_situ,,True,kinetic,Abdominal,Spatial Monitor,3D,Surface Modeling,,Intraoperative,Phantom,CT,Off-situ,Kinetic,Tool Location
5654,Koishi 2008,A navigation system using projection images of laparoscopic instruments and a surgical target with improved image quality,"Medical Imaging 2008: Visualization, Image-guided Procedures, and Modeling",2008,Before 2010,project the image of forceps and a surgical target simultaneously for support of laparoscopic surgery,False,,intraoperative,abdominal,,phantom,spatial_projection,2d,rgb,,other_process,segmented target from the endoscope,tool_location,in_situ,markerless,False,,Abdominal,Spatial Projection,2D,Other Process,Markerless,Intraoperative,Phantom,RGB Camera,In-situ,,Tool Location
929,Megali 2008,EndoCAS navigator platform: a common platform for computer and robotic assistance in minimally invasive surgery.,The International Journal of Medical Robotics and Computer Assisted Surgery,2008,Before 2010,Authos wants to have a hardware and software architecture of the EndoCAS navigator platform for general CASapplications. We have also evolved a speciﬁc applicationfor computer-assisted laparoscopic procedures based on the EndoCAS platform.,False,,intraoperative,abdominal,,phantom|patient,spatial_monitor,3d,not_specified,,surface_modeling,Surface model,tool_location,off_situ,,False,,Abdominal,Spatial Monitor,3D,Surface Modeling,,Intraoperative,"Phantom, Patient",Not Specified,Off-situ,,Tool Location
1788,Santhanam 2008,A display framework for visualizing real-time 3D lung tumor radiotherapy,IEEE/OSA J. Disp. Technol.,2008,Before 2010,present a medical display and visualization framework for radiation therapy that couples a computer-based simulation of real-time lung tumor motion and its dose accumulation during treatment with an Augmented Reality Center (ARC) based display system.,False,,planning,cardiothoracic,,virtual,hmd_ost,4d,ct,,surface_modeling,,,off_situ,,False,,Cardiothoracic,HMD (Optical See-Through),4D,Surface Modeling,,Planning,Virtual,CT,Off-situ,,
5634,Stoyanov 2008,Intra-operative visualizations: Perceptual fidelity and human factors,Journal of Display Technology,2008,Before 2010,"This paper reviews (but I am not sure if we should regard it as a review paper) their AR techniques around improving depth perception, motion stabilization, and compensation of soft tissue motion",False,,intraoperative,abdominal,,not_specified,spatial_monitor,2d,rgb,,no_post_processing,,,off_situ,,True,occlusion|shadow|kinetic,Abdominal,Spatial Monitor,2D,No Post-processing,,Intraoperative,Not Specified,RGB Camera,Off-situ,"Occlusion, Shadow, Kinetic",
1758,Stüdeli 2008,Visualization tool for improved accuracy in needle placement during percutaneous radio-frequency ablation of liver tumors,Progr. Biomed. Opt. Imaging Proc,2008,Before 2010,"A visualization tool has been designed that aims to support (1) exploration of the abdomen, (2) planning of needle trajectory and (3) insertion of the needle in the most efficient way. This work describes a first evaluation of the system,",False,,multi_task,abdominal,,phantom,hmd_vst,2d_3d,ct|us,,surface_modeling,,tool_location,in_situ,,False,,Abdominal,HMD (Video See-Through),2D + 3D,Surface Modeling,,Multi-task,Phantom,"CT, Ultrasound",In-situ,,Tool Location
5635,Traub 2008,Advanced display and visualization concepts for image guided surgery,JOURNAL OF DISPLAY TECHNOLOGY,2008,Before 2010,"Compare the IGS with traditional monitor and HMD, and a hybrid method that includes the slice view",False,,intraoperative,orthopedic,,phantom,hmd_ost,2d_3d,ct,,no_post_processing,Both volume rendered and raw CT slice,tool_location,in_situ,marker_optical,False,,Orthopedic,HMD (Optical See-Through),2D + 3D,No Post-processing,Optical Marker,Intraoperative,Phantom,CT,In-situ,,Tool Location
13,C 2009,A Volume Visualization System with Augmented Reality Interaction for Evaluation of Radiotherapy Plans,"International Conference on Innovative Computing, Information and Control",2009,Before 2010,"volume visualization system with augmented reality interaction to display radiotherapy plan contents including computed tomography (CT) images, dose distribution, and mesh models of radiotherapy targets.",False,,planning,neurosurgery,,virtual,hmd_ost,3d,ct,,volume_rendering,,color_coding,off_situ,,False,,Neurosurgery,HMD (Optical See-Through),3D,Volume Rendering,,Planning,Virtual,CT,Off-situ,,Color Coding
5624,Linte 2009,In vitro cardiac catheter navigation via augmented reality surgical guidance,"Medical Imaging 2009: Visualization, Image-Guided Procedures, and Modeling",2009,Before 2010,Overlay pre-op cardiac anatomy from CT to US,False,,intraoperative,cardiothoracic,,phantom,spatial_monitor,2d,ct|us,,surface_modeling,,,off_situ,,False,,Cardiothoracic,Spatial Monitor,2D,Surface Modeling,,Intraoperative,Phantom,"CT, Ultrasound",Off-situ,,
322,Su 2009,Augmented reality during robot-assisted laparoscopic partial nephrectomy: toward real-time 3D-CT to stereoscopic video registration,Urology,2009,Before 2010,"This paper focuses on registration, using CT segmentation and a stereoscopically reconstructed kidney for registration so that the surgical plan and tumor/stone highlights can be displayed intraoperatively. The paper does not actually evaluate performance under stereoscopic viewing, but it can achieve stereoscopic video augmentation at 10 Hz.",False,,intraoperative,abdominal,,patient,spatial_monitor,3d,ct,,surface_modeling,,,off_situ,,False,,Abdominal,Spatial Monitor,3D,Surface Modeling,,Intraoperative,Patient,CT,Off-situ,,
5605,Baumhauer 2010,The MITK Image Guided Therapy toolkit and its application for augmented reality in laparoscopic prostate surgery,"Medical Imaging 2010: Visualization, Image-Guided Procedures, and Modeling.",2010,2010-2015,"Proposed a pipeline for augmenting the endoscopic imaging with other image modalities, with a exemplary application in prostate surgery",False,,intraoperative,urology,,patient,spatial_monitor,2d,rgb,,surface_modeling,,,in_situ,marker_other,False,,Urology,Spatial Monitor,2D,Surface Modeling,Other Marker,Intraoperative,Patient,RGB Camera,In-situ,,
1832,Cheung 2010,Fused video and ultrasound images for minimally invasive partial nephrectomy: A phantom study,Lect. Notes Comput. Sci.,2010,2010-2015,Combines images in a common augmented re- ality environment,False,,intraoperative,urology,,phantom,spatial_monitor,2d_3d,us,,no_post_processing,,,off_situ,,False,,Urology,Spatial Monitor,2D + 3D,No Post-processing,,Intraoperative,Phantom,Ultrasound,Off-situ,,
738,Hansen 2010,Illustrative visualization of 3D planning models for augmented reality in liver surgery.,International Journal of Computer Assisted Radiology and Surgery,2010,2010-2015,To propose a meaningful augmentation of the surgical view with a 3D visualization of planning data which allows reliable comparisons of distances and spatial relations,False,,planning,abdominal,,animal,spatial_projection,3d,mri,,surface_modeling,,,in_situ,marker_optical,True,occlusion|color|texture,Abdominal,Spatial Projection,3D,Surface Modeling,Optical Marker,Planning,Animal,MRI,In-situ,"Occlusion, Color, Texture",
5594,Navab 2010,"Camera augmented mobile C-arm (CAMC): Calibration, accuracy study, and clinical applications",IEEE TRANSACTIONS ON MEDICAL IMAGING,2010,2010-2015,It's CamC. Project X-ray onto anatomy using a semi-transparency mirror,False,,intraoperative,orthopedic,,cadaver,spatial_projection_semtransparent,2d,xray,,no_post_processing,,,in_situ,markerless,False,,Orthopedic,Semi-transparent Projection,2D,No Post-processing,Markerless,Intraoperative,Cadaver,X-ray,In-situ,,
285,Shekhar 2010,Live augmented reality: a new visualization method for laparoscopic surgery using continuous volumetric computed tomography,Surg Endosc,2010,2010-2015,use continuous CT scanning and show deep structure,False,,intraoperative,abdominal,,animal,spatial_monitor,3d,ct,,volume_rendering,,,off_situ,,False,,Abdominal,Spatial Monitor,3D,Volume Rendering,,Intraoperative,Animal,CT,Off-situ,,
357,Teber 2010,In-vitro evaluation of a soft-tissue navigation system for laparoscopic prostatectomy,Journal of Endourlogy,2010,2010-2015,introduce a custom-designed phantom model for the in-vitro evaluation of an augmented reality-based soft-tissue navigation system for ultrasound-guided prostate interventions,False,,intraoperative,urology,,phantom,spatial_monitor,3d,us,,surface_modeling,surface model,,off_situ,,False,,Urology,Spatial Monitor,3D,Surface Modeling,,Intraoperative,Phantom,Ultrasound,Off-situ,,
97,A 2011,MR in OR: First analysis of AR/VR visualization in 100 intra-operative Freehand SPECT acquisitions,IEEE International Symposium on Mixed and Augmented Reality,2011,2010-2015,"analyzed the usage of the Augmented and Virtual Reality visualization modes by the surgical team, while leaving the staff completely uninfluenced and unbiased in order to capture the natural interaction with the system",True,"For some subtasks, e.g. setting proper threshold values for the reconstruction, AR has been the preferred visualization mode, while for other subtasks, e.g. image-guided resection of the lymph node, the preference goes to VR.",intraoperative,oncologic,,patient,spatial_monitor,3d,spect,,surface_modeling,,,in_situ,marker_optical,False,,Oncologic,Spatial Monitor,3D,Surface Modeling,Optical Marker,Intraoperative,Patient,SPECT,In-situ,,
79,R 2011,Trajectory planning with Augmented Reality for improved risk assessment in image-guided keyhole neurosurgery,IEEE International Symposium on Biomedical Imaging,2011,2010-2015,Present a method for reducing the risk associated with the insertion of straight tools in image-guided keyhole neurosurgery with augmented reality assistance.,False,,planning,neurosurgery,,phantom,hmd_vst,3d,mri,,no_post_processing,,tool_location,in_situ,marker_optical,False,,Neurosurgery,HMD (Video See-Through),3D,No Post-processing,Optical Marker,Planning,Phantom,MRI,In-situ,,Tool Location
251,Simpfendörfer 2011,Augmented reality visualization during laparoscopic radical prostatectomy,J Endourol,2011,2010-2015,"present an augmented reality (AR) navigation system that conveys virtual organ models generated from transrectal ultrasonography (TRUS) onto a real laparoscopic video during radical prostatectomy. By providing this additional information about the actual anatomy, we can support surgeons in their working decisions. This work reports the system’s first in-vivo application",False,,intraoperative,urology,,patient,spatial_monitor,3d,us,,surface_modeling,,,off_situ,,False,,Urology,Spatial Monitor,3D,Surface Modeling,,Intraoperative,Patient,Ultrasound,Off-situ,,
339,Tran 2011,Augmented reality system for oral surgery using 3D auto stereoscopic visualization,INTERNATIONAL CONFERENCE ON MEDICAL IMAGE COMPUTING AND COMPUTER ASSISTED INTERVENTION,2011,2010-2015,"In oral surgery, important vessels and nerves must be avoided. To address the lack of depth information in navigation systems at the time, the authors used integral videography and a semi-transparent mirror to build a 3D AR device for model overlay. This setup likely offers a wider field of view than a head-mounted display, but with limited mobility.",False,,intraoperative,oral_maxillofacial,,phantom,spatial_projection_semtransparent,3d,ct,,surface_modeling,,,in_situ,marker_optical,False,,Oral & Maxillofacial,Semi-transparent Projection,3D,Surface Modeling,Optical Marker,Intraoperative,Phantom,CT,In-situ,,
5567,Uneri 2011,Architecture of a high-performance surgical guidance system based on C-arm cone-beam CT: Software platform for technical integration and clinical translation,"Medical Imaging 2011: Visualization, Image-Guided Procedures, and Modeling",2011,2010-2015,"Proposed TREK, a IGS surgical software that supports augmented video with information from image-to-image registration, DRR, segmentation, etc.",False,,intraoperative,mixed,,cadaver,spatial_monitor,2d,ct|rgb,,surface_modeling,,color_coding,off_situ,,False,,Mixed,Spatial Monitor,2D,Surface Modeling,,Intraoperative,Cadaver,"CT, RGB Camera",Off-situ,,Color Coding
323,Weiss 2011,"Augmented reality visualization using Image-Overlay for MR-guided interventions: system description, feasibility, and initial evaluation in a spine phantom",Technical Innovation Musculoskeletal Imaging,2011,2010-2015,"the purpose of this article is to provide a preliminary user assessment of Image-Overlay, an augmented reality system for MRI-guided needle placement, in a spine phantom",False,,intraoperative,abdominal,,phantom,spatial_projection_semtransparent,2d,mri,,no_post_processing,,tool_location,in_situ,markerless,False,,Abdominal,Semi-transparent Projection,2D,No Post-processing,Markerless,Intraoperative,Phantom,MRI,In-situ,,Tool Location
295,Fritz 2012,Augmented reality visualization with image overlay for MRI-guided intervention: accuracy for lumbar spinal procedures with a 1.5-T MRI system,AJR Am J Roentgenol,2012,2010-2015,prospectively evaluate the accuracy of an augmented reality image overlay system in MRI-guided spinal injection procedures.,False,,intraoperative,orthopedic,,phantom,spatial_projection_semtransparent,2d,mri,,no_post_processing,,,in_situ,markerless,False,,Orthopedic,Semi-transparent Projection,2D,No Post-processing,Markerless,Intraoperative,Phantom,MRI,In-situ,,
358,Fritz 2012,Augmented reality visualization with use of image overlay technology for MR imaging-guided interventions: assessment of performance in cadaveric shoulder and hip arthrography at 1.5 T,Radiology,2012,2010-2015,This paper overlaid the MRI image and the planned injection trajectory for intra-operative Shoulder and Hip Arthrography. They performed 23 trails on shoulder and 22 trails on hip. The procedure is directly conducted on MRI machine thus doesnot need registration.,,,intraoperative,orthopedic,,cadaver,spatial_projection_semtransparent,3d,mri,,no_post_processing,,,in_situ,markerless,False,,Orthopedic,Semi-transparent Projection,3D,No Post-processing,Markerless,Intraoperative,Cadaver,MRI,In-situ,,
342,Ieiri 2012,Augmented reality navigation system for laparoscopic splenectomy in children based on preoperative CT image using optical tracking device,Pediatr Surg Int,2012,2010-2015,"In endoscopic surgery, limited views and lack of tactile sensation restrict the surgeon's abilities and increase stress. The authors therefore developed an AR navigation system based on preoperative CT imaging and evaluated its usefulness, feasibility, and accuracy in pediatric laparoscopic splenectomy. However, the registration approach for soft tissue appears overly simplified, the reported registration results reflect this limitation, and organ deformation is not considered.",,,intraoperative,abdominal,,patient,spatial_monitor,3d,ct,,surface_modeling,,,in_situ,markerless,False,,Abdominal,Spatial Monitor,3D,Surface Modeling,Markerless,Intraoperative,Patient,CT,In-situ,,
76,T 2012,Development of Augmented Reality Body-Mark system to support echography,IEEE Biomedical Circuits and Systems,2012,2010-2015,visualization system of 3D shape of internal organs using Augmented Reality,False,,method_development,abdominal,,phantom|patient,spatial_monitor,3d,us,,surface_modeling,Surface model,tool_location,off_situ,,False,,Abdominal,Spatial Monitor,3D,Surface Modeling,,Method Development,"Phantom, Patient",Ultrasound,Off-situ,,Tool Location
5478,Amir-Khalili 2013,Uncertainty-encoded augmented reality for robot-assisted partial nephrectomy: A phantom study,International Workshop on Medical Imaging and Virtual Reality.,2013,2010-2015,Kidney tumor surgery.,False,,intraoperative,urology,,phantom,spatial_monitor,2d,ct|rgb,,surface_modeling,,color_coding,in_situ,markerless,False,,Urology,Spatial Monitor,2D,Surface Modeling,Markerless,Intraoperative,Phantom,"CT, RGB Camera",In-situ,,Color Coding
1708,Fusaglia 2013,Endoscopic image overlay for the targeting of hidden anatomy in laparoscopic visceral surgery,Lect. Notes Comput. Sci,2013,2010-2015,improve visual data supplied for the targeting of non visible anatomical structures in laparoscopic visceral surgery,,,intraoperative,abdominal,,phantom|patient,spatial_monitor,3d,ct,,surface_modeling,,tool_location,off_situ,,False,,Abdominal,Spatial Monitor,3D,Surface Modeling,,Intraoperative,"Phantom, Patient",CT,Off-situ,,Tool Location
249,Katić 2013,Context-aware Augmented Reality in laparoscopic surgery,Comput Med Imaging Graph,2013,2010-2015,Showing different parts of information and filtering available information based on recognized phases in the operating room.,False,,intraoperative,abdominal,,animal,spatial_monitor,3d,ct,,surface_modeling,,,in_situ,marker_optical,False,,Abdominal,Spatial Monitor,3D,Surface Modeling,Optical Marker,Intraoperative,Animal,CT,In-situ,,
1660,Kersten-Oertel 2013,Volume visualization for neurovascular augmented reality surgery,Augmented Reality Environments for Medical Imaging and Computer-Assisted Interventions,2013,2010-2015,Explore different volume rendering method for viscular,False,,intraoperative,neurosurgery,,phantom,spatial_monitor,3d,ct,,volume_rendering,,,off_situ,,True,alpha_transparency,Neurosurgery,Spatial Monitor,3D,Volume Rendering,,Intraoperative,Phantom,CT,Off-situ,Alpha Transparency,
279,Mahvash 2013,A novel augmented reality system of image projection for image-guided neurosurgery,Acta Neurochir,2013,2010-2015,To design and develop an augmented reality system for image-guided surgery of brain tumors using image projection,False,,intraoperative,neurosurgery,,phantom,spatial_projection,3d,rgb,,surface_modeling,The projection ROI is calculated by paired registered MRI surface model and camera image,,off_situ,,False,,Neurosurgery,Spatial Projection,3D,Surface Modeling,,Intraoperative,Phantom,RGB Camera,Off-situ,,
317,Müller 2013,Mobile augmented reality for computer-assisted percutaneous nephrolithotomy,IJCARS,2013,2010-2015,"This work uses a tablet-based AR setup for kidney stone removal and compares it with conventional fluoroscopy- and ultrasound-guided procedures. Trainees and surgeons could still use fluoroscopy when necessary. Results showed advantages for trainees in procedure time and radiation exposure, but for experienced surgeons the tablet-based setup increased procedure time and did not substantially reduce radiation exposure.",False,,intraoperative,urology,,phantom,spatial_monitor,3d,ct,,surface_modeling,,,in_situ,marker_optical,False,,Urology,Spatial Monitor,3D,Surface Modeling,Optical Marker,Intraoperative,Phantom,CT,In-situ,,
319,Szabó 2013,Real-time intraoperative visualization of myocardial circulation using augmented reality temperature display,Int J Cardiovasc Imaging,2013,2010-2015,"Myocardial circulation cannot normally be measured and visualized intraoperatively. This paper innovatively uses thermographic imaging to display it and projects it onto porcine tissue in real time. The implementation is relatively simple but novel, although occlusion handling is not addressed.",False,,intraoperative,cardiothoracic,,animal,spatial_projection,2d,,myocardial circulation,no_post_processing,,,in_situ,markerless,False,,Cardiothoracic,Spatial Projection,2D,No Post-processing,Markerless,Intraoperative,Animal,,In-situ,,
